N: 512, threads: 8, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.00557797
N: 1024, threads: 8, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0230895
N: 16, threads: 8, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000287927
N: 32, threads: 8, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000260113
N: 64, threads: 8, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.00031259
N: 128, threads: 8, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.000413262
N: 256, threads: 8, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.000930305
N: 512, threads: 8, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.00307792
N: 1024, threads: 8, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.0110958
N: 16, threads: 8, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000247213
N: 32, threads: 8, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000269824
N: 64, threads: 8, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000308759
N: 128, threads: 8, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.000612577
N: 256, threads: 8, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.0019035
N: 512, threads: 8, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.00674807
N: 1024, threads: 8, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.0254791
N: 16, threads: 16, NPixels: 8, NBlocks: 2, Radius: 1, OpenMP ST: 0.000381694
N: 32, threads: 16, NPixels: 8, NBlocks: 4, Radius: 1, OpenMP ST: 0.00037835
N: 64, threads: 16, NPixels: 8, NBlocks: 8, Radius: 1, OpenMP ST: 0.000483272
N: 128, threads: 16, NPixels: 8, NBlocks: 16, Radius: 1, OpenMP ST: 0.000552115
N: 256, threads: 16, NPixels: 8, NBlocks: 32, Radius: 1, OpenMP ST: 0.000802681
N: 512, threads: 16, NPixels: 8, NBlocks: 64, Radius: 1, OpenMP ST: 0.00182389
N: 1024, threads: 16, NPixels: 8, NBlocks: 128, Radius: 1, OpenMP ST: 0.00550039
N: 16, threads: 16, NPixels: 8, NBlocks: 2, Radius: 2, OpenMP ST: 0.000352502
N: 32, threads: 16, NPixels: 8, NBlocks: 4, Radius: 2, OpenMP ST: 0.000527774
N: 64, threads: 16, NPixels: 8, NBlocks: 8, Radius: 2, OpenMP ST: 0.000474022
N: 128, threads: 16, NPixels: 8, NBlocks: 16, Radius: 2, OpenMP ST: 0.000625246
N: 256, threads: 16, NPixels: 8, NBlocks: 32, Radius: 2, OpenMP ST: 0.00113565
N: 512, threads: 16, NPixels: 8, NBlocks: 64, Radius: 2, OpenMP ST: 0.00323459
N: 1024, threads: 16, NPixels: 8, NBlocks: 128, Radius: 2, OpenMP ST: 0.0124773
N: 16, threads: 16, NPixels: 4, NBlocks: 4, Radius: 1, OpenMP ST: 0.000365305
N: 32, threads: 16, NPixels: 4, NBlocks: 8, Radius: 1, OpenMP ST: 0.000423046
